Timestamp,Status,Eye_Aspect_Ratio,Mouth_Aspect_Ratio,Blink_Count,Yawn_Count
2024-11-28 12:02:26,Active,0.168,0.342,0,0
2024-11-28 12:02:26,Active,0.186,0.353,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.202,0.370,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.192,0.354,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.188,0.361,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.179,0.369,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.152,0.376,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.174,0.370,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.163,0.375,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.155,0.372,0,0
2024-11-28 12:02:26,SLEEPING !!!,0.179,0.371,0,0
2024-11-28 12:02:26,Active,0.256,0.466,1,0
2024-11-28 12:02:26,Active,0.173,0.373,1,0
2024-11-28 12:02:26,Active,0.268,0.468,1,0
2024-11-28 12:02:26,Active,0.242,0.428,1,0
2024-11-28 12:02:26,Active,0.178,0.392,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.142,0.398,1,0
2024-11-28 12:02:26,Active,0.258,0.442,1,0
2024-11-28 12:02:26,Active,0.165,0.392,1,0
2024-11-28 12:02:26,Active,0.227,0.426,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.151,0.391,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.241,0.438,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.170,0.407,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.213,0.436,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.180,0.409,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.242,0.436,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.169,0.432,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.192,0.420,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.160,0.425,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.218,0.408,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.143,0.442,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.230,0.419,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.133,0.453,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.206,0.417,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.122,0.445,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.208,0.419,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.122,0.445,1,0
2024-11-28 12:02:26,SLEEPING !!!,0.218,0.404,1,1
2024-11-28 12:02:26,SLEEPING !!!,0.104,0.447,1,1
2024-11-28 12:02:26,SLEEPING !!!,0.198,0.411,1,1
2024-11-28 12:02:27,SLEEPING !!!,0.146,0.456,1,1
2024-11-28 12:02:27,SLEEPING !!!,0.216,0.395,1,1
2024-11-28 12:02:27,SLEEPING !!!,0.130,0.442,1,1
2024-11-28 12:02:27,SLEEPING !!!,0.236,0.396,1,1
